Country,States,Population,Population Growth %
Bulgaria,Sofia (province),247518.671247648,0.01
Bulgaria,Stara Zagora,333304.954860003,0.01
Bulgaria,Targovishte,120832.484768204,0.01
Bulgaria,Varna,475130.956221509,0.01
Bulgaria,Veliko Tarnovo,258524.990627824,0.01
Bulgaria,Vidin,101030.11096289,0.01
Bulgaria,Vratsa,186870.40104926,0.01
Bulgaria,Yambol,131462.759070057,0.01
Burkina Faso,Boucle du Mouhoun,1435019.02259766,0.01
Burkina Faso,Cascades,525018.936532453,0.01
Burkina Faso,Centre,2136837.15289556,0.01
Burkina Faso,Centre-Est,1132158.71728349,0.01
Burkina Faso,Centre-Nord,1203217.23540811,0.01
Burkina Faso,Centre-Ouest,1348945.70457712,0.01
Burkina Faso,Centre-Sud,722717.63562162,0.01
Burkina Faso,Est,1209543.99382693,0.01
Burkina Faso,Hauts-Bassins,1410453.07776029,0.01
Burkina Faso,Nord,1182911.80129856,0.01
Burkina Faso,Plateau-Central,696455.487452239,0.01
Burkina Faso,Sahel,968558.105695263,0.01
Burkina Faso,Sud-Ouest,620841.423232502,0.01
Burundi,Cankuzo,228900.439391095,0.01
Burundi,Gitega,1002343.15567088,0.01
Burundi,Rutana,333549.984232846,0.01
Burundi,Ruyigi,400578.019204168,0.01
Burundi,Karuzi,436495.324783474,0.01
Burundi,Kayanza,585482.184551346,0.01
Burundi,Kirundo,628331.321082401,0.01
Burundi,Muyinga,632484.818982071,0.01
Burundi,Ngozi,660796.212804336,0.01
Burundi,Bururi,313139.537534925,0.01
Burundi,Makamba,430950.660117985,0.01
Burundi,Rumonge,352068.204100483,0.01
Burundi,Bubanza,338063.525292613,0.01
Burundi,Bujumbura Mairie,497225.604812772,0.01
Burundi,Bujumbura Rural,464873.726638312,0.01
Burundi,Cibitoke,460490.201164135,0.01
Burundi,Muramvya,292624.078248642,0.01
Burundi,Mwaro,273175.746884088,0.01
Cabo Verde,Barlavento,525062.941807576,0.01
Cabo Verde,Sotavento ,525062.941807576,0.01
Cambodia,Banteay Meanchey,859648.050125701,0.01
Cambodia,Battambang,987518.378553906,0.01
Cambodia,Kampong Cham,895870.3922712,0.01
Cambodia,Kampong Chhnang,525995.053544271,0.01
Cambodia,Kampong Speu,872323.569600881,0.01
Cambodia,Kampong Thom,677341.196130664,0.01
Cambodia,Kampot,592916.075687452,0.01
Cambodia,Kandal,1195690.33312232,0.01
Cambodia,Koh Kong,123632.820457845,0.01
Cambodia,Kratié,327864.302662988,0.01
Cambodia,Mondulkiri,88659.6280539045,0.01
Cambodia,Phnom Penh,2129626.28849473,0.01
Cambodia,Preah Vihear,251382.134379462,0.01
Cambodia,Prey Veng,1057554.77415181,0.01
Cambodia,Pursat,411808.365439515,0.01
Cambodia,Ratanak Kiri,204051.460625094,0.01
Cambodia,Siem Reap,1006632.66987547,0.01
Cambodia,Preah Sihanouk,302923.312867183,0.01
Cambodia,Stung Treng,159584.130113381,0.01
Cambodia,Svay Rieng,524616.888337012,0.01
Cambodia,Takéo,899592.838498644,0.01
Cambodia,Oddar Meanchey,261283.321282119,0.01
Cambodia,Kep,41803.0111269963,0.01
Cambodia,Pailin,71608.5840636618,0.01
Cambodia,Tboung Khmum,775388.949584089,0.01
Cameroon,Adamawa,1132113.71188848,0.01
Cameroon,Central,3920297.94487563,0.01
Cameroon,East,824302.813122993,0.01
Cameroon,Far North,3803593.95500987,0.01
Cameroon,Littoral,3174817.58057679,0.01
Cameroon,North,2311456.08530264,0.01
Cameroon,Northwest,1900774.85497821,0.01
Cameroon,South,761190.247517722,0.01
Cameroon,Southwest,1481610.60775394,0.01
Cameroon,West,1865617.64051466,0.01
Canada,Ontaria,14320261.6382936,0.01
Canada, Quebec,8388637.58613212,0.01
Canada, Nova Scotia,959615.033646419,0.01
Canada, New Brunswick,771013.425069026,0.01
Canada, Manitoba,1353565.25834513,0.01
Canada, British Columbia,5001769.58605675,0.01
Canada, Prince Edward Island,153602.413056332,0.01
Canada, Saskatchewan,1163117.42845236,0.01
Canada, Alberta,4301236.60981641,0.01
Canada, Newfoundland and Labrador,525667.014220627,0.01
Central African Republic,Bamingui-Bangoran,43234.1826883804,0.01
Central African Republic,Basse-Kotto,249179.870383538,0.01
Central African Republic,Haute-Kotto,90326.8279091297,0.01
Central African Republic,Haut-Mbomou,57608.9058552381,0.01
