Country,States,Population,Birth Rate,Births,Death Rate,Deaths,Inbound Migration,Outbound Migration,Population Growth %
Armenia,Yerevan,1060234.8407933,,,,,,,0.01
Australia,New South Wales,8090264.95673515,,,,,,,0.01
Australia,Northern Territory,245891.459480754,,,,,,,0.01
Australia,Queensland,5095565.42386554,,,,,,,0.01
Australia,South Australia,1751853.01250755,,,,,,,0.01
Australia,Tasmania,534329.805151676,,,,,,,0.01
Australia,Victoria,6595406.41784659,,,,,,,0.01
Australia,Western Australia,2621919.48351157,,,,,,,0.01
Australia,Australian Capital Territory,420417.400506206,,,,,,,0.01
Austria,Vienna,1867752.59866021,,,,,,,0.01
Austria,Upper Austria,1465178.82797335,,,,,,,0.01
Austria,Lower Austria,1665905.16211659,,,,,,,0.01
Austria,Styria,1237411.02388921,,,,,,,0.01
Austria,Tyrol,746221.159096689,,,,,,,0.01
Austria,Salzburg,549313.173717622,,,,,,,0.01
Austria,Carinthia,561128.252895175,,,,,,,0.01
Austria,Vorarlberg,388787.511463676,,,,,,,0.01
Austria,Burgenland,291968.668127053,,,,,,,0.01
Azerbaijan,Absheron,189817.337726379,,,,,,,0.01
Azerbaijan,Ganja-Qazakh,332630.382127471,,,,,,,0.01
Azerbaijan,Shaki-Zaqatala,68366.2445046119,,,,,,,0.01
Azerbaijan,Lankaran,226920.726712937,,,,,,,0.01
Azerbaijan,Guba-Khachmaz,40979.7430488732,,,,,,,0.01
Azerbaijan,Aran,0,,,,,,,0.01
Azerbaijan,Upper Karabakh,0,,,,,,,0.01
Azerbaijan,Kalbajar-Lachin,600.054808407946,,,,,,,0.01
Azerbaijan,Mountainous Shirvan,0,,,,,,,0.01
Azerbaijan,Nakhchivan,93708.5592463742,,,,,,,0.01
Bahamas,Acklins,565.051611250815,,,,,,,0.01
Bahamas,Berry Islands,807.073717308687,,,,,,,0.01
Bahamas,Bimini,1988.18159852499,,,,,,,0.01
Bahamas,Black Point,0,,,,,,,0.01
Bahamas,Cat Island,1522.13903066148,,,,,,,0.01
Bahamas,Central Abaco,0,,,,,,,0.01
Bahamas,Central Andros,662.060471943433,,,,,,,0.01
Bahamas,Central Eleuthera,0,,,,,,,0.01
Bahamas,City of Freeport,26916.4585224857,,,,,,,0.01
Bahamas,Crooked Island,330.030144624369,,,,,,,0.01
Bahamas,East Grand Bahama,0,,,,,,,0.01
Bahamas,Exuma,6928.63285441707,,,,,,,0.01
Bahamas,Grand Cay,383.034986033738,,,,,,,0.01
Bahamas,Green Turtle Cay,0,,,,,,,0.01
Bahamas,Harbour Island,1762.16095402466,,,,,,,0.01
Bahamas,Hope Town,458.041837084731,,,,,,,0.01
Bahamas,Inagua,913.083400127425,,,,,,,0.01
Bahamas,Long Island,3094.2826286903,,,,,,,0.01
Bahamas,Mangrove Cay,0,,,,,,,0.01
Bahamas,Mayaguana,277.025303215001,,,,,,,0.01
Bahamas,Moore's Island,0,,,,,,,0.01
Bahamas,North Abaco,9578.87492488551,,,,,,,0.01
Bahamas,North Andros,3898.35607195694,,,,,,,0.01
Bahamas,North Eleuthera,0,,,,,,,0.01
Bahamas,Ragged Island,72.0065770089534,,,,,,,0.01
Bahamas,Rum Cay,53.0048414093685,,,,,,,0.01
Bahamas,San Salvador,930.084953032316,,,,,,,0.01
Bahamas,South Abaco,0,,,,,,,0.01
Bahamas,South Andros,3592.3281196689,,,,,,,0.01
Bahamas,South Eleuthera,0,,,,,,,0.01
Bahamas,Spanish Wells,1551.14167973453,,,,,,,0.01
Bahamas,West Grand Bahama,0,,,,,,,0.01
Bahrain,Capital Governorate,329540.099864169,,,,,,,0.01
Bahrain,Muharraq Governorate,189131.2750621,,,,,,,0.01
Bahrain,Northern Governorate,276974.298556286,,,,,,,0.01
Bahrain,Southern Governorate,101465.267736393,,,,,,,0.01
Bangladesh,Barisal,8326426.52749758,,,,,,,0.01
Bangladesh,Chittagong,29147662.3184159,,,,,,,0.01
Bangladesh,Dhaka,36436833.1040081,,,,,,,0.01
Bangladesh,Khulna,15689192.0351583,,,,,,,0.01
Bangladesh,Mymensingh,11371038.6193305,,,,,,,0.01
Bangladesh,Rajshahi,18487546.6340774,,,,,,,0.01
Bangladesh,Rangpur,15789200.1698016,,,,,,,0.01
Bangladesh,Sylhet,9807895.84342787,,,,,,,0.01
Barbados,Christ Church,54340.9634494235,,,,,,,0.01
Barbados,St. Andrew,5139.46943401405,,,,,,,0.01
Barbados,Saint George,19768.8056629997,,,,,,,0.01
Barbados,St. James,28500.6032166827,,,,,,,0.01
Barbados,St. John,8963.81874626737,,,,,,,0.01
Barbados,St. Joseph,6620.60471943433,,,,,,,0.01
Barbados,St. Lucy,9758.89136740789,,,,,,,0.01
Barbados,St. Michael,88537.086889245,,,,,,,0.01
Barbados,St. Peter,11301.0322250162,,,,,,,0.01
Barbados,St. Philip,30664.8008923407,,,,,,,0.01
Barbados,St. Thomas,14250.3016083413,,,,,,,0.01
Belarus,Gomel Region,1426804.32288433,,,,,,,0.01
Belarus,Grodno Region,1039372.93528765,,,,,,,0.01
Belarus,Mogilev Region,1052973.17752021,,,,,,,0.01
Belarus,Minsk Region,1411628.93677968,,,,,,,0.01
Belarus,Vitebsk Region,1135834.74601326,,,,,,,0.01
Belarus,Brest Region,1380517.09505508,,,,,,,0.01
Belgium,Antwerp,1858155.72209106,,,,,,,0.01
Belgium,East Flanders,1515202.39707629,,,,,,,0.01
Belgium,Flemish Brabant,1146279.70004495,,,,,,,0.01
Belgium,Limburg,874127.84196558,,,,,,,0.01
Belgium,West Flanders,1195905.23279163,,,,,,,0.01
Belgium,Hainaut,1344363.7928485,,,,,,,0.01
Belgium,Liège,1107093.12078187,,,,,,,0.01
Belgium,Luxembourg,284664.000926034,,,,,,,0.01
Belgium,Namur,494370.155277096,,,,,,,0.01
Belgium,Walloon Brabant,403635.86769773,,,,,,,0.01
Belgium,Brussels Capital Region,1208652.39710492,,,,,,,0.01
Belize,Belize,124107.33584032,,,,,,,0.01
Belize,Cayo,99127.0541662979,,,,,,,0.01
Belize,Corozal,49450.5167608988,,,,,,,0.01
Belize,Orange Walk,52554.8003030626,,,,,,,0.01
Belize,Stann Creek,44724.0850533388,,,,,,,0.01
Belize,Toledo,38560.5220796419,,,,,,,0.01
Benin,Alibori,867542.240443303,,,,,,,0.01
Benin,Atakora,772332.544084562,,,,,,,0.01
Benin,Atlantique,1398356.72450905,,,,,,,0.01
Benin,Borgou,1214359.91842422,,,,,,,0.01
Benin,Collines,717542.53962018,,,,,,,0.01
Benin,Kouffo,745396.083735129,,,,,,,0.01
Benin,Donga,543179.613484345,,,,,,,0.01
Benin,Littoral,679074.025944493,,,,,,,0.01
Benin,Mono,497288.421828653,,,,,,,0.01
Benin,Ouémé,1100504.51898555,,,,,,,0.01
Benin,Plateau,622428.852030783,,,,,,,0.01
Benin,Zou,851657.789573398,,,,,,,0.01
Bhutan,Trongsa,19961.8232930376,,,,,,,0.01
Bhutan,Paro,46320.230843704,,,,,,,0.01
Bhutan,Punakha,28742.6253227405,,,,,,,0.01
Bhutan,Wangdue Phodrang,42189.8535791626,,,,,,,0.01
Bhutan,Daga,24967.2804865072,,,,,,,0.01
Bhutan,Bumthang,17821.6278097159,,,,,,,0.01
Bhutan,Thimphu,138748.673165474,,,,,,,0.01
Bhutan,Kurtoed,10000.776285394,,,,,,,0.01
Bolivia,Beni,421234.475136988,,,,,,,0.01
Bolivia,Chuquisaca,581400.10450589,,,,,,,0.01
Bolivia,Cochabamba,1758303.60169794,,,,,,,0.01
Bolivia,La Paz,2706606.21871353,,,,,,,0.01
Bolivia,Oruro,494223.141849036,,,,,,,0.01
Bolivia,Pando,110446.088035566,,,,,,,0.01
Bolivia,Potosí,823592.22609281,,,,,,,0.01
Bolivia,Santa Cruz,3320387.28086381,,,,,,,0.01
Bolivia,Tarija,482240.047325129,,,,,,,0.01
Bosnia and Herzegovina,Bosanska Krajina,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,Bosanska Posavina (Bosnian Sava river basin),410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,Semberija,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,Podrinje,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,Tropolje,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,West Herzegovina,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,East Herzegovina,410031.827701157,,,,,,,0.01
Bosnia and Herzegovina,High Herzegovina,410031.827701157,,,,,,,0.01
Botswana,Southern,186848.066516108,,,,,,,0.01
Botswana,South-East,316634.92111801,,,,,,,0.01
Botswana,Kweneng,304576.819743052,,,,,,,0.01
Botswana,Kgatleng,91668.3728977872,,,,,,,0.01
Botswana,Central District,638662.334780913,,,,,,,0.01
Botswana,North-East District,167515.30068055,,,,,,,0.01
Botswana,Ngamiland,142983.059930139,,,,,,,0.01
Botswana,Chobe,23349.1326865005,,,,,,,0.01
Botswana,Ghanzi,117920.770765634,,,,,,,0.01
Botswana,Kgalagadi,42052.8410645761,,,,,,,0.01
Brazil,Acre,894551.707461092,,,,,,,0.01
Brazil, Alagoas,3351849.15455998,,,,,,,0.01
Brazil, Amapá,861851.720676901,,,,,,,0.01
Brazil, Amazonas,4208098.36350905,,,,,,,0.01
Brazil, Bahia,14931997.8737985,,,,,,,0.01
Brazil, Ceará,9187942.21748177,,,,,,,0.01
Brazil, Distrito Federal,3055428.07975454,,,,,,,0.01
Brazil, Espírito Santo,4064423.24036655,,,,,,,0.01
